Fecha,Temporada,Cultivo,Parcela,Fase Productiva,Cantidad (kg),Precio por kg,Ingresos generados,Costo Total,Rentabilidad,Clima,Demanda de Mercado,Proyección Precio Temporada Siguiente,Observaciones,Línea Productiva
2023-05-22,2023-Verano,Café,Parcela C,Mantenimiento,0,0,0,495,-495,Soleado,Media,5.1,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela C.",Tropicales
2023-12-02,2023-Invierno,Café,Parcela B,Siembra,0,0,0,259,-259,Soleado,Baja,5.1,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela B.",Tropicales
2023-06-05,2023-Verano,Maíz,Parcela A,Mantenimiento,0,0,0,312,-312,Soleado,Media,0.85,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela A.",Grano
2023-06-09,2023-Verano,Café,Parcela A,Siembra,0,0,0,476,-476,Nublado,Media,5.1,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela A.",Tropicales
2023-09-17,2023-Invierno,Soya,Parcela B,Cosecha,776,1.34,1039.84,369,670.84,Lluvioso,Baja,1.2,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela B.",Oleaginosas
2023-11-08,2023-Invierno,Plátano,Parcela A,Mantenimiento,0,0,0,198,-198,Nublado,Alta,0.75,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela A.",Tropicales
2023-10-20,2023-Invierno,Maíz,Parcela A,Mantenimiento,0,0,0,442,-442,Lluvioso,Media,0.85,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Grano
2023-06-18,2023-Verano,Maíz,Parcela C,Mantenimiento,0,0,0,278,-278,Nublado,Media,0.85,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela C.",Grano
2023-10-19,2023-Invierno,Plátano,Parcela A,Siembra,0,0,0,364,-364,Nublado,Media,0.75,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela A.",Tropicales
2023-11-24,2023-Invierno,Plátano,Parcela D,Cosecha,357,0.64,228.48,356,-127.52,Nublado,Media,0.75,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela D.",Tropicales
2023-10-18,2023-Invierno,Plátano,Parcela A,Cosecha,306,0.69,211.14,315,-103.86,Lluvioso,Media,0.75,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-02-07,2023-Verano,Café,Parcela B,Cosecha,899,5.29,4755.71,224,4531.71,Soleado,Media,5.1,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela B.",Tropicales
2023-07-03,2023-Invierno,Maíz,Parcela D,Mantenimiento,0,0,0,358,-358,Lluvioso,Alta,0.85,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela D.",Grano
2023-11-19,2023-Invierno,Trigo,Parcela B,Mantenimiento,0,0,0,297,-297,Soleado,Media,0.95,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela B.",Grano
2023-07-21,2023-Invierno,Café,Parcela D,Siembra,0,0,0,250,-250,Soleado,Media,5.1,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela D.",Tropicales
2023-11-24,2023-Invierno,Soya,Parcela A,Cosecha,679,1.08,733.32,374,359.32,Lluvioso,Baja,1.2,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela A.",Oleaginosas
2023-08-14,2023-Invierno,Maíz,Parcela B,Siembra,0,0,0,317,-317,Lluvioso,Media,0.85,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela B.",Grano
2023-06-27,2023-Verano,Trigo,Parcela E,Mantenimiento,0,0,0,304,-304,Nublado,Alta,0.95,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela E.",Grano
2023-03-20,2023-Verano,Soya,Parcela B,Cosecha,474,1.0,474.0,340,134.0,Nublado,Alta,1.2,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela B.",Oleaginosas
2023-09-26,2023-Invierno,Café,Parcela D,Siembra,0,0,0,247,-247,Soleado,Alta,5.1,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela D.",Tropicales
